Position Surname Number
1 SMITH 2719
2 BROWN 1970
3 WILSON 1886
4 ROBERTSON 1796
5 CAMPBELL 1749
6 STEWART 1675
7 THOMSON 1658
8 ANDERSON 1511
9 SCOTT 1194
10 MACDONALD 1146
11 REID 1115
12 MURRAY 1114
13 CLARK 1042
14 TAYLOR 1016
15 ROSS 946
16 YOUNG 904
17 PATERSON 903
18 WATSON 888
19 MITCHELL 869
20 FRASER 852
21 MORRISON 845
22 WALKER 833
23 MCDONALD 827
24 GRAHAM 810
25 MILLER 796
26 JOHNSTON 788
27 HENDERSON 785
28 CAMERON 780
29 DUNCAN 778
30 GRAY 758
31 KERR 746
32 HAMILTON 742
33 HUNTER 706
34 DAVIDSON 705
35 FERGUSON 694
36 BELL 691
37 MACKENZIE 680
38 MARTIN 677
39 SIMPSON 670
40 GRANT 668
41 ALLAN 650
42 KELLY 627
43 MACLEOD 621
44 BLACK 613
45 MACKAY 590
46 WALLACE 558
47 MCLEAN 529
48 KENNEDY 524
49= GIBSON 520
49= RUSSELL 520
51 MARSHALL 517
52 GORDON 513
53 BURNS 502
54 STEVENSON 487
55 MILNE 486
56 CRAIG 472
57 WOOD 465
58 WRIGHT 458
59 MUNRO 457
60 JOHNSTONE 454
61= RITCHIE 453
61= SINCLAIR 453
63 WATT 449
64 MCKENZIE 448
65 MUIR 441
66= MURPHY 440
66= SUTHERLAND 440
68 MCMILLAN 439
69 WHITE 421
70 MCKAY 419
71 MILLAR 418
72 HUGHES 402
73 CRAWFORD 391
74 WILLIAMSON 388
75 DOCHERTY 383
76 MACLEAN 380
77 FLEMING 375
78 CUNNINGHAM 374
79 DICKSON 365
80 BOYLE 364
81 DOUGLAS 362
82 MCINTOSH 359
83 BRUCE 352
84 SHAW 351
85 MCGREGOR 350
86 LINDSAY 346
87 JAMIESON 343
88 HAY 342
89 CHRISTIE 334
90 BOYD 333
91 AITKEN 328
92 RAE 321
93= HILL 311
93= MCCALLUM 311
95= ALEXANDER 307
95= MCINTYRE 307
97= CURRIE 302
97= RAMSAY 302
99 MACKIE 301
100 WEIR 300
101 JONES 299
102 CAIRNS 298
103 WHYTE 297
104 MCLAUGHLIN 296
105 JACKSON 294
106 FINDLAY 288
107= FORBES 285
107= KING 285
109 DONALDSON 281
110 HUTCHISON 279
111 MCCULLOCH 278
112 MCLEOD 275
113 MCFARLANE 274
114 NICOL 271
115 BUCHANAN 269
116 PATON 267
117 MOORE 266
118= DUFFY 264
118= REILLY 264
118= RENNIE 264
121 TAIT 263
122= IRVINE 258
122= O'NEILL 258
122= THOMPSON 258
125 GREEN 255
126= MCEWAN 253
126= QUINN 253
128 HENDRY 252
129 BAIN 248
130 BEATTIE 247
131 CHALMERS 245
132= HALL 244
132= HOGG 244
132= WILLIAMS 244
135= STRACHAN 243
135= TURNER 243
137 LOGAN 242
138 COOK 240
139= ARMSTRONG 239
139= BUCHAN 239
141= COWAN 237
141= GALLAGHER 237
143= BARCLAY 236
143= WELSH 236
145= BARR 234
145= GALLACHER 234
145= GILMOUR 234
148 MURDOCH 232
149= BLAIR 231
149= FORSYTH 231
151= ADAMS 230
151= COOPER 230
153 DONNELLY 229
154= DICK 228
154= NELSON 228
154= O'DONNELL 228
154= WARD 228
158= JACK 223
158= MACPHERSON 223
160 DONALD 221
161 BAIRD 218
162= MCLAREN 215
162= PARK 215
164= DRUMMOND 214
164= INNES 214
166 GILLESPIE 213
167 LAWSON 212
168= DUNN 210
168= MAXWELL 210
170 MCPHERSON 206
171 COLLINS 205
172 SPENCE 204
173= HIGGINS 201
173= ROBERTS 201
175 DUFF 198
176= MCGOWAN 196
176= MCGUIRE 196
176= MOFFAT 196
176= MORGAN 196
180= BAXTER 195
180= MACFARLANE 195
180= MCBRIDE 195
180= MCDOUGALL 195
184 INGLIS 194
185= RICHARDSON 193
185= STEPHEN 193
187 SHARP 192
188= MACKINNON 190
188= MCALLISTER 190
190= GILLIES 189
190= LAIRD 189
190= RODGER 189
193= GREIG 188
193= LAING 188
193= MORTON 188
193= SWEENEY 188
197= ADAM 187
197= MONTGOMERY 187
197= MORRIS 187
197= TODD 187
201= CASSIDY 186
201= ROBB 186
201= STIRLING 186
204 WEBSTER 184
205 STUART 183
206= KANE 182
206= MCKENNA 182
208= FALCONER 181
208= GIBB 181
208= MCNEILL 181
208= TURNBULL 181
212 HOUSTON 179
213 HARVEY 178
214 DOWNIE 177
215= COCHRANE 176
215= LITTLE 176
215= MCARTHUR 176
215= POLLOCK 176
219 MACMILLAN 174
220 ORR 173
221 STEELE 170
222= HARRIS 169
222= LYNCH 169
224= DUNLOP 168
224= LOW 168
224= MCMAHON 168
224= NICHOLSON 168
228 ALLISON 167
229= MCCANN 166
229= SNEDDON 166
231 GALLOWAY 164
232 CARR 163
233= CUMMING 162
233= GARDNER 162
235= COWIE 161
235= JOHNSON 161
235= LESLIE 161
235= ROBINSON 161
239= FORREST 160
239= HARDIE 160
241= LEE 157
241= MILLIGAN 157
241= O'BRIEN 157
241= RANKIN 157
245 NOBLE 156
246= KNOX 155
246= MULLEN 155
246= URQUHART 155
249= BAILLIE 154
249= HARRISON 154
251= BENNETT 153
251= LAW 153
253= DEVINE 152
253= HANNAH 152
253= MOIR 152
256= BURNETT 151
